DATE,B
07/17/2003,0.001525038
07/17/2003,0.003513354
10/03/2003,0.001275435
10/03/2003,0.006546411
01/09/2004,0.000658045
01/09/2004,0.01126429
04/08/2004,0.001320817
04/08/2004,0.003086003
07/06/2004,0.002567888
07/06/2004,0.001304744
10/01/2004,0.000524734
10/01/2004,0.001022995
01/03/2005,0.000668445
01/03/2005,0.000975722
04/08/2005,0.001878642
04/08/2005,0.001719804
07/05/2005,0.003753503
07/05/2005,0.008787167
10/10/2005,0.00010022
10/10/2005,0.000993686
01/02/2006,0.001192234
01/02/2006,0.002912983
04/10/2006,0.005697382
04/10/2006,0.019495523
07/14/2006,0.001348236
07/14/2006,0.019350866
10/02/2006,0.013659157
10/02/2006,0.010772647
01/09/2007,0.017954412
01/09/2007,0.006097315
04/10/2007,0.007609116
04/10/2007,0.015875331
07/02/2007,0.005979131
07/02/2007,0.006100151
10/04/2007,0.000498261
10/04/2007,0.000114402
01/03/2008,0.000290258
01/03/2008,0.000541752
04/07/2008,0.00395016
04/07/2008,0.002031808
07/02/2008,0.010349078
07/02/2008,0.011672732
10/02/2008,0.000209894
10/02/2008,0.009556777
01/21/2009,0.001960898
01/21/2009,0.012207866
04/03/2009,0.014748335
04/03/2009,0.014723752
07/01/2009,0.010645955
07/01/2009,0.011232144
10/19/2009,0.004859699
10/19/2009,0.01654283
10/07/2011,0.00169144
10/07/2011,0.018542492
01/11/2012,0.003614519
01/11/2012,0.034202257
04/13/2012,0.0071118
